priority,planned_file,product,surface,viewport,source_route_or_screen,requires_login,privacy_level,status,asset_use
P0,menulist-public-menu-mobile.png,MenuList,Public menu,mobile,"public /client menu route",no,public_demo_needed,not_captured,"Answerlattice page-aware support example"
P0,menulist-public-menu-desktop.png,MenuList,Public menu,desktop,"public /client menu route",no,public_demo_needed,not_captured,"Answerlattice product-surface proof"
P0,menulist-obp-desktop.png,MenuList,Official Business Page,desktop,"OBP public route",no,public_demo_needed,not_captured,"Canonical public business truth proof"
P0,menulist-obp-mobile.png,MenuList,Official Business Page,mobile,"OBP public route",no,public_demo_needed,not_captured,"Mobile public proof"
P0,menulist-create-menu-upload.png,MenuList,Create menu upload,desktop,"/create-menu",no,low,not_captured,"Intake analogy and setup proof"
P0,menulist-extraction-review.png,MenuList,Extraction review,desktop,"owner extraction review screen",yes,private_scrub_required,not_captured,"Owner approval proof"
P1,menulist-owner-dashboard.png,MenuList,Owner dashboard,desktop,"/dashboard",yes,private_scrub_required,not_captured,"Founder/operator status proof"
P1,menulist-mobile-share-qr.png,MenuList,Mobile share/QR,mobile,"MobileShareScreen",yes,private_scrub_required,not_captured,"QR/share deployment proof"
P2,menulist-digital-screen.png,MenuList,Digital Screen,desktop,"/screen/[token]",yes,private_scrub_required,not_captured,"Physical surface proof"
P0,answerlattice-menulist-activation.png,Answerlattice,Activation Command Center,desktop,"/answerlattice/activation",yes,private_scrub_required,not_captured,"Production client readiness proof"
P0,answerlattice-menulist-dashboard.png,Answerlattice,Dashboard overview,desktop,"/answerlattice/dashboard",yes,private_scrub_required,not_captured,"Answerlattice operating control-plane proof"
P0,answerlattice-menulist-intake-sources.png,Answerlattice,Knowledge Intake sources,desktop,"/answerlattice/knowledge-intake",yes,private_scrub_required,not_captured,"Teach Answerlattice your product proof"
P0,answerlattice-menulist-review-queue.png,Answerlattice,Review queue,desktop,"/answerlattice/knowledge-intake",yes,private_scrub_required,not_captured,"Governance/review proof"
P0,answerlattice-menulist-canonical-proposal.png,Answerlattice,Canonical proposal,desktop,"Answerlattice governance/canonical answer surface",yes,private_scrub_required,not_captured,"Canonical answer proof"
P1,answerlattice-menulist-product-surface.png,Answerlattice,Product surface mapping,desktop,"Answerlattice product surfaces",yes,private_scrub_required,not_captured,"Page-aware support proof"
P1,answerlattice-menulist-widget-access.png,Answerlattice,Widget access and runtime,desktop,"/answerlattice/widget",yes,private_scrub_required,not_captured,"Widget key, origin, runtime, and page-context proof"
P1,answerlattice-menulist-support-board.png,Answerlattice,Support Board,desktop,"/answerlattice/support-board",yes,private_scrub_required,not_captured,"Support signal-to-knowledge proof"
P2,answerlattice-menulist-feedback.png,Answerlattice,Feedback queue,desktop,"/answerlattice/feedback",yes,private_scrub_required,not_captured,"Widget feedback signal proof"
P2,answerlattice-menulist-weekly-digest.png,Answerlattice,Weekly Digest,desktop,"/answerlattice/weekly-digest",yes,private_scrub_required,not_captured,"Executive summary proof"
P1,answerlattice-menulist-widget-proof.png,Answerlattice,Widget proof,desktop,"MenuList route with Answerlattice widget",yes,private_scrub_required,not_captured,"Widget/runtime proof"
