priority,planned_file,product,surface,viewport,source_route_or_screen,requires_login,privacy_level,status,asset_use
P0,menulist-public-menu-mobile.png,MenuList,Public menu,mobile,"public /client menu route",no,public_demo_needed,not_captured,"Canonica page-aware support example"
P0,menulist-public-menu-desktop.png,MenuList,Public menu,desktop,"public /client menu route",no,public_demo_needed,not_captured,"Canonica product-surface proof"
P0,menulist-obp-desktop.png,MenuList,Official Business Page,desktop,"OBP public route",no,public_demo_needed,not_captured,"Canonical public business truth proof"
P0,menulist-obp-mobile.png,MenuList,Official Business Page,mobile,"OBP public route",no,public_demo_needed,not_captured,"Mobile public proof"
P0,menulist-create-menu-upload.png,MenuList,Create menu upload,desktop,"/create-menu",no,low,not_captured,"Intake analogy and setup proof"
P0,menulist-extraction-review.png,MenuList,Extraction review,desktop,"owner extraction review screen",yes,private_scrub_required,not_captured,"Owner approval proof"
P1,menulist-owner-dashboard.png,MenuList,Owner dashboard,desktop,"/dashboard",yes,private_scrub_required,not_captured,"Founder/operator status proof"
P1,menulist-mobile-share-qr.png,MenuList,Mobile share/QR,mobile,"MobileShareScreen",yes,private_scrub_required,not_captured,"QR/share deployment proof"
P2,menulist-digital-screen.png,MenuList,Digital Screen,desktop,"/screen/[token]",yes,private_scrub_required,not_captured,"Physical surface proof"
P0,canonica-menulist-activation.png,Canonica,Activation Command Center,desktop,"/canonica/activation",yes,private_scrub_required,not_captured,"Production client readiness proof"
P0,canonica-menulist-dashboard.png,Canonica,Dashboard overview,desktop,"/canonica/dashboard",yes,private_scrub_required,not_captured,"Canonica operating control-plane proof"
P0,canonica-menulist-intake-sources.png,Canonica,Knowledge Intake sources,desktop,"/canonica/knowledge-intake",yes,private_scrub_required,not_captured,"Teach Canonica your product proof"
P0,canonica-menulist-review-queue.png,Canonica,Review queue,desktop,"/canonica/knowledge-intake",yes,private_scrub_required,not_captured,"Governance/review proof"
P0,canonica-menulist-canonical-proposal.png,Canonica,Canonical proposal,desktop,"Canonica governance/canonical answer surface",yes,private_scrub_required,not_captured,"Canonical answer proof"
P1,canonica-menulist-product-surface.png,Canonica,Product surface mapping,desktop,"Canonica product surfaces",yes,private_scrub_required,not_captured,"Page-aware support proof"
P1,canonica-menulist-widget-access.png,Canonica,Widget access and runtime,desktop,"/canonica/widget",yes,private_scrub_required,not_captured,"Widget key, origin, runtime, and page-context proof"
P1,canonica-menulist-support-board.png,Canonica,Support Board,desktop,"/canonica/support-board",yes,private_scrub_required,not_captured,"Support signal-to-knowledge proof"
P2,canonica-menulist-feedback.png,Canonica,Feedback queue,desktop,"/canonica/feedback",yes,private_scrub_required,not_captured,"Widget feedback signal proof"
P2,canonica-menulist-weekly-digest.png,Canonica,Weekly Digest,desktop,"/canonica/weekly-digest",yes,private_scrub_required,not_captured,"Executive summary proof"
P1,canonica-menulist-widget-proof.png,Canonica,Widget proof,desktop,"MenuList route with Canonica widget",yes,private_scrub_required,not_captured,"Widget/runtime proof"
