surface_key,label,product,route_patterns,feature,page,workflow,user_role,entity_hints,screenshot_priority,notes
menulist_today,Today,MenuList,"/dashboard,/today,/today/history",today,today,review_daily_business,owner,"today,business_status,setup_status,owner_action",P0,"Primary day-to-day owner surface; historical views are lazy."
menulist_projects,Projects and menus,MenuList,"/projects,/projects/*",projects,projects,manage_menu,owner,"menu,project,public_menu,publish",P0,"Primary menu editing and publish support surface."
menulist_create_menu,Create menu,MenuList,"/create-menu,/create-menu/*",menu_intake,create_menu,sign_in_upload_review_claim,owner,"upload,menu_link_import,extraction,review",P0,"Current acquisition is sign-in-first even though the entry route is public."
menulist_extraction_review,Extraction review,MenuList,"owner extraction review state",menu_review,review,approve_extracted_menu,owner,"review,approval,menu_item,category,source",P0,"Create only from approved scrubbed demo data."
menulist_menu_manager,AI Menu Manager,MenuList,"/menu-manager",ai_menu_manager,menu_manager,prepare_and_approve_menu_work,owner,"menu,proposal,approval,receipt",P0,"Provider planning cannot mutate truth; registered action and version checks remain authoritative."
menulist_business_health,Business Health,MenuList,"/business-health",business_health,business_health,understand_business_health,owner,"health,analytics,public_readiness,feedback",P0,"Read-only surface; action preparation belongs to Menu Manager."
menulist_business_settings,Business settings,MenuList,"/business-settings,/business-settings/*",business_settings,business_settings,manage_business_profile,owner,"business_profile,hours,timezone,language,public_truth",P1,"Public truth and OBP support; exact selected store matters."
menulist_share,Share and QR,MenuList,"/qr-code,/qrCode,/use-menulist",share,share,share_menu_and_place_qr,owner,"qr,public_link,official_business_page,menu_kit",P0,"Stable link and placement guidance; scan-test downloaded/printed assets."
menulist_assets,Print and export assets,MenuList,"/assets,/use-menulist/print-assets,/use-menulist/menu-card-export",assets,assets,prepare_downloadable_assets,owner,"print,pdf,menu_card,menu_kit",P1,"Browser/download output; old files do not update themselves."
menulist_digital_screens_owner,Digital Screen settings,MenuList,"business settings digital screen surface",digital_screens,digital_screens,configure_screen,owner,"screen,menu_board,highlights,screen_link",P1,"Use current settings route label from the owner UI."
menulist_customer_app_owner,Customer App settings,MenuList,"business settings customer app surface",customer_app,customer_app,configure_customer_shortcut,owner,"customer_app,pwa,manifest,public_menu",P2,"Installable shortcut; not a native app-store or stale-offline-menu promise."
menulist_feedback_owner,Guest Feedback,MenuList,"/feedback,/feedback/*",feedback,feedback,review_guest_feedback,owner,"feedback,rating,customer_signal",P1,"Keep private feedback and attachments out of public assets."
menulist_help_center,Help Center,MenuList,"/help-center,/help-center/*",help_center,help_center,get_support,owner,"knowledge,faq,ticket,attachment",P0,"Widget is blocked on Help Center routes; Help is the MobileShell support entry."
menulist_users,Users and permissions,MenuList,"/users,/users/*",users,users,manage_staff,owner,"staff,permissions,role,session",P1,"Owner role is operational and does not transfer business authority."
menulist_locations,Locations and outlets,MenuList,"/locations,/locations/*",locations,locations,manage_locations,owner,"outlet,location,master_menu,override,external_identity",P1,"Do not merge locations; exact selected outlet and billing scope matter."
menulist_billing,Billing,MenuList,"/billing",billing,billing,manage_subscription,owner,"subscription,plan,cycle,enhancement_pack",P2,"Keep account/payment details scrubbed; exact state is high-risk."
menulist_transactions,Transactions,MenuList,"/transactions",transactions,transactions,review_payment_and_ai_activity,owner,"billing,transaction,ai_operation,credits",P2,"Show only owner-safe status/credit effects in public proof."
menulist_presence,Menu Presence,MenuList,"/use-menulist,MobileShell Share,MobileShell More",menu_presence,presence,review_link_placement,owner,"presence,qr,screen,feedback,external_surface",P1,"Checklist/owner confirmation only; not provider verification."
menulist_mobile_shell,Owner MobileShell,MenuList,"#mobile/today,#mobile/menu,#mobile/share,#mobile/more",mobile_owner,mobile_shell,use_owner_phone_workflows,owner,"today,menu,share,more,help",P0,"Inherits auth/localization/timezone/permissions and keeps sub-screens inside MobileShell."
menulist_public_menu,Public menu,MenuList,"/client/*",public_menu,public_menu,view_current_menu,customer,"menu,item,category,price,availability,language",P0,"Public truth example; use a scrubbed approved business and exact route."
menulist_item_detail,Public item detail,MenuList,"/client/* item detail",public_item,public_item,view_menu_item,customer,"item,price,option,availability,description",P1,"Preserve text/range/option pricing and unavailable state."
menulist_official_business_page,Official Business Page,MenuList,"Official Business Page public route",official_business_page,obp,view_business_truth,customer,"business_profile,hours,status,menu,public_action",P0,"Public business identity; owner-entered provider fields are not external verification."
menulist_public_feedback,Public feedback,MenuList,"/feedback/* public route",public_feedback,feedback,submit_guest_feedback,customer,"feedback,rating,contact_optional",P1,"Do not include real guest details in captures."
menulist_digital_screen,Digital Screen output,MenuList,"/screen/*",digital_screen,screen,display_current_menu,customer,"screen,menu,public_surface",P2,"Optional proof; check correct screen link and active content."
menulist_public_tools,Public Truth Tools,MenuList,"/tools,/tools/*,/tools/reports/*",public_truth_tools,tools,run_public_truth_check,visitor,"report,readiness,public_fact,diagnostic",P1,"Browser-local/self-reported unless a specifically gated monitor is active; no fake scan claims."
